Subject,Word
1,wolf
1,panda
1,grizzly
1,lion
1,tiger
1,bengal tiger
1,mammoth
1,dog
1,eagle
1,partridge
1,quail
1,wild pig
1,chicken
1,chicken
1,chicken
1,pigeon
1,raven
1,cheetah
1,leopard
2,panther
2,elephant
2,horse
2,giraffe
2,bat
2,cat
2,chicken
2,chicken
2,chicken
2,sheep
2,goat
2,fish
2,killer whale
2,hamster
2,bun
2,gorilla
2,chimpanzee
2,hippo
2,zebra
3,kangaroo
3,snake
3,rat
3,bird
3,sheep
3,cow
3,horse
3,insect
3,frog
3,shark
3,dolphin
3,crab
3,fish
3,squirrel
3,dog
3,ant
3,bee
3,mosquito
4,dog
4,cat
4,bird
4,hamster
4,sheep
4,cow
4,frog
4,snake
4,crocodile
4,rabbit
4,fish
4,goat
5,horse
5,dog
5,fish
5,swallow
5,chicken
5,rabbit
5,mouse
5,sheep
5,cow
5,cat
5,parakeet
5,bun
5,lion
5,tiger
5,bear
5,giraffe
5,crocodile
5,snake
5,horse
6,elephant
6,cockroach
6,cat
6,lion
6,dog
6,fly
6,giraffe
6,cheetah
6,goat
6,deer
6,sheep
6,pig
6,cow
6,ostrich
6,snake
6,spider
6,fox
7,dog
7,cat
7,lizard
7,mosquito
7,tortoise
7,fish
7,elephant
7,giraffe
7,wildebeest
7,calls
7,canary
8,dog
8,cat
8,bird
8,parrot
8,cow
8,sheep
8,goat
8,snake
8,iguana
8,tortoise
8,fish
8,bun
8,squirrel
8,rabbit
8,chicken
8,donkey
8,horse
9,giraffe
9,rhinoceros
9,elephant
9,zebra
9,whale
9,shark
9,sardine
9,cow
9,bull
9,dog
9,cat
9,rat
9,sheep
9,goat
9,wild pig
9,deer
9,rabbit
9,hare
9,bird
10,dog
10,cat
10,rabbit
10,guinea pig
10,chinchilla
10,butterfly
10,squirrel
10,owl
10,bird
10,cockroach
10,worm
10,otter
10,dolphin
10,shark
11,whale
11,elephant
11,dolphin
11,canary
11,shark
11,bird
11,jellyfish
11,squirrel
11,squid
11,fly
11,shrimp
11,parasite
11,lobster
11,dog
11,prawn
11,cat
11,stripe
11,bull
11,bee
11,wasp
11,sheep
11,ox
11,deer
11,reindeer
11,polar bear
11,elephant
12,dog
12,cat
12,hamster
12,horse
12,horse
12,pig
12,rhinoceros
12,zebra
12,lion
12,giraffe
12,elephant
12,fish
12,rabbit
12,snake
12,canary
12,parrot
12,parakeet
12,octopus
13,dog
13,cat
13,mouse
13,snake
13,tiger
13,lion
13,chameleon
13,wasp
13,bee
13,sheep
13,goat
13,cow
13,chicken
13,rabbit
13,billy goat
13,horse
13,pony
14,deer
14,sheep
14,wild pig
14,horse
14,fox
14,mole
14,rabbit
14,hare
14,cow
14,bull
14,ram
14,dog
14,cat
14,mouse
14,rat
14,eagle
14,stork
14,pigeon
14,chicken
14,goat
14,roe deer
15,dog
15,fish
15,giraffe
15,cat
15,rhinoceros
15,elephant
15,spider
15,cockroach
15,ant
15,snake
15,mosquito
15,worm
15,squirrel
15,horse
15,donkey
15,centipede
16,dog
16,cat
16,buffalo
16,wild pig
16,deer
16,squirrel
16,cat
16,tortoise
16,sea ​​urchin
16,whale
16,shark
16,fish
16,horse
16,horse
16,dromedary
16,horse
16,camel
16,lizard
16,snake
16,moose
16,ox
16,buffalo
16,chicken
16,sheep
16,bee
17,pig
17,horse
