Subject,Word
301,dog
301,lion
301,giraffe
301,wolf
301,rat
301,weasel
301,shark
301,dolphin
301,whale
301,elephant
301,bun
301,gorilla
302,lion
302,tiger
302,cougar
302,dog
302,cat
302,salamander
302,lizard
302,lizard
302,squirrel
302,mouse
302,hamster
302,beetle
303,tiger
303,lion
303,dog
303,dolphin
303,whale
303,eagle
303,raven
303,ram
303,sheep
303,bumblebee
304,snake
304,elephant
304,lion
304,tiger
304,cheetah
304,giraffe
304,bear
304,kangaroo
304,bird
304,canary
304,ostrich
304,horse
304,sheep
305,dinosaur
305,dog
305,cat
305,lion
305,tiger
305,giraffe
306,dog
306,cat
306,cow
306,bull
306,pig
306,chicken
306,bird
306,tortoise
306,parakeet
306,parrot
306,eagle
307,lion
307,tiger
307,pigeon
307,cat
307,dog
307,goat
307,jaguar
307,panther
307,cheetah
307,camel
308,cat
308,spider
308,elephant
308,giraffe
308,dog
308,butterfly
308,bird
308,eagle
308,mastiff
308,giraffe
308,lion
308,leopard
309,gazelle
309,rabbit
309,lion
309,cat
309,tortoise
309,parakeet
309,bird
309,mouse
309,toad
309,bull
309,cow
309,elephant
309,rhinoceros
310,horse
310,tiger
310,lion
310,bear
310,crocodile
310,shark
310,duck
310,frog
310,horse
310,dog
310,cat
310,dinosaur
310,fish
311,tortoise
311,canary
311,deer
311,wild pig
311,pigeon
311,rabbit
311,donkey
311,horse
311,pig
311,chicken
311,cat
311,dog
311,parrot
312,dog
312,lion
312,tiger
312,tortoise
312,butterfly
312,cat
312,bear
312,snake
312,lizard
313,dog
313,lion
313,buffalo
313,tiger
313,leopard
314,dog
314,rabbit
314,deer
314,pig
314,sheep
314,ostrich
315,tiger
315,jaguar
315,lion
315,hyena
315,elephant
315,bun
315,gorilla
315,dolphin
315,piranha
315,bird
315,duck
316,horse
316,elephant
316,tiger
316,eagle
316,stork
316,bun
316,lion
316,snake
316,lizard
316,crocodile
316,rhinoceros
316,bird
316,chicken
317,lion
317,tiger
317,bear
317,cat
317,dog
317,whale
317,shark
317,fish
317,bun
317,lynx
317,deer
317,bull
317,cow
317,sheep
317,lamb
317,rabbit
317,bird
317,eagle
317,pigeon
318,lion
318,cat
318,dog
318,fox
318,elephant
318,rooster
318,chicken
318,chicken
318,pigeon
318,tiger
319,cat
319,dog
319,elephant
319,bun
319,leopard
319,lion
319,tortoise
319,hamster
319,bird
319,crocodile
320,lion
320,tiger
320,elephant
320,jaguar
320,bird
320,bun
321,lion
321,cheetah
321,zebra
321,horse
321,sheep
321,ant
321,pigeon
321,bull
321,ostrich
321,bird
321,horse
322,cat
322,dog
322,pigeon
322,chicken
322,elephant
322,lion
322,cheetah
322,rabbit
322,worm
323,elephant
323,giraffe
323,lion
323,zebra
323,rabbit
323,bird
323,dog
323,cat
323,bull
323,cow
324,horse
324,tortoise
324,tiger
324,lion
324,giraffe
324,elephant
324,rabbit
324,cat
324,mouse
324,fish
324,butterfly
325,lion
325,wasp
325,fly
325,bun
325,elephant
325,snake
325,grasshopper
325,lizard
325,worm
325,worm
326,tiger
326,lion
326,leopard
326,panda
326,lizard
326,dog
326,cat
326,snake
326,bun
326,seal
326,hyena
326,fish
326,spider
327,elephant
327,dog
327,cat
327,squirrel
327,snake
327,bird
327,dolphin
327,whale
327,butterfly
327,bee
327,fly
327,grasshopper
327,shark
327,cow
327,sheep
327,pigeon
327,seagull
328,tiger
328,dinosaur
328,bun
328,lion
328,cheetah
328,gorilla
328,dinosaur
329,koala
329,lion
329,bear
329,jaguar
329,giraffe
329,lion
329,horse
329,horse
329,pigeon
329,lizard
329,spider
329,snake
329,snake
329,dog
329,cat
330,lion
330,tiger
330,cheetah
330,elephant
331,lion
331,dog
331,tiger
331,giraffe
331,koala
331,snake
331,spider
331,frog
331,cat
331,pigeon
331,bird
333,lion
333,tiger
333,bun
333,dog
333,cat
333,rabbit
333,guinea pig
333,ferret
333,kangaroo
334,donkey
334,parrot
334,sheep
334,cow
334,lion
334,tiger
334,fish
334,lynx
334,shark
334,tortoise
334,lizard
334,snake
334,hamster
334,pigeon
335,elephant
335,leopard
335,lion
335,tiger
335,penguin
335,sea ​​lion
335,horse
335,kangaroo
335,giraffe
335,zebra
336,horse
336,dog
336,cat
336,hamster
336,rabbit
336,rhinoceros
336,zebra
336,deer
336,snake
336,cockroach
336,lizard
338,lion
338,dog
338,tiger
338,cat
338,gorilla
338,swordfish
338,cougar
338,parrot
338,eagle
338,woodpecker
338,bun
339,elephant
339,tiger
339,giraffe
339,zebra
339,lion
339,crocodile
339,fish
339,snake
339,ostrich
339,cow
339,horse
339,dog
339,cat
340,cow
340,bird
340,sheep
340,rooster
340,bird
